set_id,cue_family,cue_word,condition,context_k,target_mass,mass_VERB,mass_NOUN,mass_ADJ,mass_NP_START,mass_PARTICIPLE,mass_CLAUSE_START
8,infinitival_to,to,SENTENCE,1,0.06323957566200988,0.06323957566200988,,,,,
8,infinitival_to,to,SENTENCE,2,0.4416258180863224,0.4416258180863224,,,,,
8,infinitival_to,to,SENTENCE,4,0.38125151664280565,0.38125151664280565,,,,,
8,infinitival_to,to,SENTENCE,8,0.38125151664280565,0.38125151664280565,,,,,
8,infinitival_to,to,SENTENCE,full,0.38125151664280565,0.38125151664280565,,,,,
8,infinitival_to,to,JABBERWOCKY,1,0.06323957566200988,0.06323957566200988,,,,,
8,infinitival_to,to,JABBERWOCKY,2,0.4416258180863224,0.4416258180863224,,,,,
8,infinitival_to,to,JABBERWOCKY,4,0.3658082633919548,0.3658082633919548,,,,,
8,infinitival_to,to,JABBERWOCKY,8,0.3658082633919548,0.3658082633919548,,,,,
8,infinitival_to,to,JABBERWOCKY,full,0.3658082633919548,0.3658082633919548,,,,,
8,infinitival_to,to,FULL_SCRAMBLED,1,0.01389340410969453,0.01389340410969453,,,,,
8,infinitival_to,to,FULL_SCRAMBLED,2,0.002769965369679994,0.002769965369679994,,,,,
8,infinitival_to,to,FULL_SCRAMBLED,4,0.002852715670087491,0.002852715670087491,,,,,
8,infinitival_to,to,FULL_SCRAMBLED,8,0.002852715670087491,0.002852715670087491,,,,,
8,infinitival_to,to,FULL_SCRAMBLED,full,0.002852715670087491,0.002852715670087491,,,,,
8,infinitival_to,to,CONTENT_SCRAMBLED,1,0.06323957566200988,0.06323957566200988,,,,,
8,infinitival_to,to,CONTENT_SCRAMBLED,2,0.17698508468311047,0.17698508468311047,,,,,
8,infinitival_to,to,CONTENT_SCRAMBLED,4,0.15198176726698875,0.15198176726698875,,,,,
8,infinitival_to,to,CONTENT_SCRAMBLED,8,0.15198176726698875,0.15198176726698875,,,,,
8,infinitival_to,to,CONTENT_SCRAMBLED,full,0.15198176726698875,0.15198176726698875,,,,,
8,infinitival_to,to,FUNCTION_SCRAMBLED,1,0.018100650820997544,0.018100650820997544,,,,,
8,infinitival_to,to,FUNCTION_SCRAMBLED,2,0.019812567144981585,0.019812567144981585,,,,,
8,infinitival_to,to,FUNCTION_SCRAMBLED,4,0.02462736002053134,0.02462736002053134,,,,,
8,infinitival_to,to,FUNCTION_SCRAMBLED,8,0.02462736002053134,0.02462736002053134,,,,,
8,infinitival_to,to,FUNCTION_SCRAMBLED,full,0.02462736002053134,0.02462736002053134,,,,,
8,infinitival_to,to,CUE_DELETED,1,0.007719871093286201,0.007719871093286201,,,,,
8,infinitival_to,to,CUE_DELETED,2,0.0,0.0,,,,,
8,infinitival_to,to,CUE_DELETED,4,0.0005500141996890306,0.0005500141996890306,,,,,
8,infinitival_to,to,CUE_DELETED,8,0.0005500141996890306,0.0005500141996890306,,,,,
8,infinitival_to,to,CUE_DELETED,full,0.0005500141996890306,0.0005500141996890306,,,,,
9,infinitival_to,to,SENTENCE,1,0.06323957566200988,0.06323957566200988,,,,,
9,infinitival_to,to,SENTENCE,2,0.6693769425837672,0.6693769425837672,,,,,
9,infinitival_to,to,SENTENCE,4,0.4965502710620058,0.4965502710620058,,,,,
9,infinitival_to,to,SENTENCE,8,0.4965502710620058,0.4965502710620058,,,,,
9,infinitival_to,to,SENTENCE,full,0.4965502710620058,0.4965502710620058,,,,,
9,infinitival_to,to,JABBERWOCKY,1,0.06323957566200988,0.06323957566200988,,,,,
9,infinitival_to,to,JABBERWOCKY,2,0.6693769425837672,0.6693769425837672,,,,,
9,infinitival_to,to,JABBERWOCKY,4,0.4910985436072224,0.4910985436072224,,,,,
9,infinitival_to,to,JABBERWOCKY,8,0.4910985436072224,0.4910985436072224,,,,,
9,infinitival_to,to,JABBERWOCKY,full,0.4910985436072224,0.4910985436072224,,,,,
9,infinitival_to,to,FULL_SCRAMBLED,1,0.0027097595047962386,0.0027097595047962386,,,,,
9,infinitival_to,to,FULL_SCRAMBLED,2,0.004264104438334471,0.004264104438334471,,,,,
9,infinitival_to,to,FULL_SCRAMBLED,4,0.014080787113925908,0.014080787113925908,,,,,
9,infinitival_to,to,FULL_SCRAMBLED,8,0.014080787113925908,0.014080787113925908,,,,,
9,infinitival_to,to,FULL_SCRAMBLED,full,0.014080787113925908,0.014080787113925908,,,,,
9,infinitival_to,to,CONTENT_SCRAMBLED,1,0.06323957566200988,0.06323957566200988,,,,,
9,infinitival_to,to,CONTENT_SCRAMBLED,2,0.6693769425837672,0.6693769425837672,,,,,
9,infinitival_to,to,CONTENT_SCRAMBLED,4,0.5339499133333447,0.5339499133333447,,,,,
9,infinitival_to,to,CONTENT_SCRAMBLED,8,0.5339499133333447,0.5339499133333447,,,,,
9,infinitival_to,to,CONTENT_SCRAMBLED,full,0.5339499133333447,0.5339499133333447,,,,,
9,infinitival_to,to,FUNCTION_SCRAMBLED,1,0.018100650820997544,0.018100650820997544,,,,,
9,infinitival_to,to,FUNCTION_SCRAMBLED,2,0.015180291011347435,0.015180291011347435,,,,,
9,infinitival_to,to,FUNCTION_SCRAMBLED,4,0.025835146007011645,0.025835146007011645,,,,,
9,infinitival_to,to,FUNCTION_SCRAMBLED,8,0.025835146007011645,0.025835146007011645,,,,,
9,infinitival_to,to,FUNCTION_SCRAMBLED,full,0.025835146007011645,0.025835146007011645,,,,,
9,infinitival_to,to,CUE_DELETED,1,0.007719871093286201,0.007719871093286201,,,,,
9,infinitival_to,to,CUE_DELETED,2,0.0,0.0,,,,,
9,infinitival_to,to,CUE_DELETED,4,0.0048652035620762035,0.0048652035620762035,,,,,
9,infinitival_to,to,CUE_DELETED,8,0.0048652035620762035,0.0048652035620762035,,,,,
9,infinitival_to,to,CUE_DELETED,full,0.0048652035620762035,0.0048652035620762035,,,,,
10,infinitival_to,to,SENTENCE,1,0.06323957566200988,0.06323957566200988,,,,,
10,infinitival_to,to,SENTENCE,2,0.6493682779619121,0.6493682779619121,,,,,
10,infinitival_to,to,SENTENCE,4,0.7064882059094089,0.7064882059094089,,,,,
10,infinitival_to,to,SENTENCE,8,0.7064882059094089,0.7064882059094089,,,,,
10,infinitival_to,to,SENTENCE,full,0.7064882059094089,0.7064882059094089,,,,,
10,infinitival_to,to,JABBERWOCKY,1,0.06323957566200988,0.06323957566200988,,,,,
10,infinitival_to,to,JABBERWOCKY,2,0.6493682779619121,0.6493682779619121,,,,,
10,infinitival_to,to,JABBERWOCKY,4,0.6154239715760923,0.6154239715760923,,,,,
10,infinitival_to,to,JABBERWOCKY,8,0.6154239715760923,0.6154239715760923,,,,,
10,infinitival_to,to,JABBERWOCKY,full,0.6154239715760923,0.6154239715760923,,,,,
10,infinitival_to,to,FULL_SCRAMBLED,1,0.004762006261444185,0.004762006261444185,,,,,
10,infinitival_to,to,FULL_SCRAMBLED,2,0.0020720706088468432,0.0020720706088468432,,,,,
10,infinitival_to,to,FULL_SCRAMBLED,4,0.005085281485662563,0.005085281485662563,,,,,
10,infinitival_to,to,FULL_SCRAMBLED,8,0.005085281485662563,0.005085281485662563,,,,,
10,infinitival_to,to,FULL_SCRAMBLED,full,0.005085281485662563,0.005085281485662563,,,,,
10,infinitival_to,to,CONTENT_SCRAMBLED,1,0.06323957566200988,0.06323957566200988,,,,,
